File Name,Num Vertices,Num Edges,Treewidth,Bags,Execution Time (miliseconds)
he035.gr,714,1334,38,676,1064
he084.gr,2113,4373,138,1975,13367
he036.gr,817,1522,44,773,652
he003.gr,167,391,10,157,17
he010.gr,82,146,5,77,6
he034.gr,836,1436,27,809,520
he051.gr,751,1948,49,702,841
he063.gr,81,810,54,27,121
he057.gr,56,280,34,22,12
he052.gr,193,642,27,166,83
he018.gr,762,1472,40,722,572
he081.gr,102,153,24,78,17
he068.gr,112,336,42,70,35
he022.gr,735,1479,58,677,693
he011.gr,900,1795,77,823,3615
he038.gr,604,1128,29,575,351
he059.gr,64,224,33,31,14
he053.gr,378,993,24,354,175
he046.gr,340,1425,96,244,805
he075.gr,100,1800,87,13,157
he041.gr,307,4403,55,252,154
he066.gr,121,1265,54,67,71
he019.gr,926,1771,49,877,728
he001.gr,7,9,2,5,2
he095.gr,1643,3291,110,1533,4939
he076.gr,90,135,20,70,17
he044.gr,125,736,66,59,209
he042.gr,179,2428,42,139,252
he080.gr,50,175,28,22,54
he086.gr,1996,4007,151,1845,9133
he020.gr,849,1503,35,814,726
he077.gr,42,126,23,19,11
he070.gr,85,850,64,21,56
he006.gr,111,199,7,105,7
he007.gr,303,524,11,292,33
he040.gr,196,4596,79,137,379
he055.gr,100,475,36,64,40
he004.gr,172,408,10,162,14
he064.gr,68,408,44,24,26
he072.gr,144,1750,73,71,171
he030.gr,661,1283,45,616,649
he071.gr,96,1261,68,28,96
he049.gr,95,505,34,61,53
he087.gr,1847,3752,112,1735,8945
he094.gr,1684,3210,95,1589,5600
he085.gr,1751,3501,90,1661,7937
he031.gr,630,1223,32,598,726
he039.gr,603,1213,34,569,649
he073.gr,100,1100,77,23,129
he043.gr,299,4053,46,256,643
he037.gr,1003,1704,42,961,745
he098.gr,708,3714,51,660,2028
he005.gr,13,22,3,10,11
he009.gr,452,806,18,434,254
he060.gr,56,280,36,23,41
he096.gr,1675,3425,117,1558,7261
he083.gr,49,476,37,13,23
he069.gr,85,850,64,21,90
he025.gr,742,1419,44,698,1091
he008.gr,332,580,15,317,70
he091.gr,1692,3354,91,1601,5955
he002.gr,172,408,11,161,26
he015.gr,916,1644,40,876,1174
he048.gr,363,2992,163,200,5735
he090.gr,1558,2898,81,1477,5147
he061.gr,120,240,29,93,66
he014.gr,739,1451,42,697,1518
he054.gr,51,240,11,40,9
he028.gr,786,1455,36,750,730
he017.gr,840,1714,64,776,1361
he045.gr,199,842,56,143,223
he050.gr,192,1230,58,142,16131
he023.gr,1149,2044,50,1099,1468
he012.gr,921,1614,34,887,1084
he082.gr,56,756,44,12,45
he032.gr,676,1348,42,634,828
he097.gr,1545,2922,92,1453,3771
he029.gr,1069,1785,33,1036,758
he067.gr,81,968,57,29,99
he065.gr,100,269,25,75,30
he056.gr,112,168,27,85,34
he016.gr,790,1523,59,731,1010
he033.gr,614,1187,40,574,449
he021.gr,717,1400,43,674,683
he058.gr,112,168,27,85,22
he047.gr,239,2932,32,212,134
he062.gr,126,189,30,96,39
he093.gr,1910,3854,113,1797,8324
he089.gr,1692,3275,88,1604,5153
he024.gr,773,1419,53,720,1030
he074.gr,121,3630,109,12,504
he092.gr,1848,3574,126,1722,7838
he026.gr,725,1397,52,673,697
he027.gr,1024,1797,52,972,1029
he013.gr,988,1845,58,930,1343
he088.gr,2030,4215,140,1890,16355
